Top-200 PPR Rankings For 2017,,,,,,,,,,,Top-200 PPR Rankings For 2017,,,,,
PLAYER/POSITION/TEAM,POSRANK,BYE,MB,MC,TC,EK,FY,AVG,,,PLAYER/POSITION/TEAM,,,,,
"76. Terrance West, RB, BAL",RB,10,78,76,63,78,113,81.6,,,76,Terrance West,,,,
"77. Duke Johnson Jr., RB, CLE",RB,9,96,74,64,77,103,82.8,,,77,Duke Johnson Jr,,,,
"78. Jimmy Graham, TE, SEA",TE,6,91,63,70,100,97,84.2,,,78,Jimmy Graham,,,,
"79. Russell Wilson, QB, SEA",QB,6,67,99,73,91,95,85,,,79,Russell Wilson,,,,
"80. Mike Wallace, WR, BAL",WR,10,77,85,94,89,81,85.2,,,80,Mike Wallace,,,,
"81. Adam Thielen, WR, MIN",WR,9,76,86,83,88,93,85.2,,,81,Adam Thielen,,,,
"82. Tevin Coleman, RB, ATL",RB,5,94,84,72,75,102,85.4,,,82,Tevin Coleman,,,,
"83. Donte Moncrief, WR, IND",WR,11,80,82,80,85,101,85.6,,,83,Donte Moncrief,,,,
"84. Kenny Britt, WR, CLE",WR,9,100,87,89,71,83,86,,,84,Kenny Britt,,,,
"85. Matt Forte, RB, NYJ",RB,11,75,104,82,101,78,88,,,85,Matt Forte,,,,
"86. Chris Hogan, WR, NE",WR,9,57,94,111,106,75,88.6,,,86,Chris Hogan,,,,
"87. Delanie Walker, TE, TEN",TE,8,95,92,88,99,73,89.4,,,87,Delanie Walker,,,,
"88. Kyle Rudolph, TE, MIN",TE,9,93,62,59,124,110,89.6,,,88,Kyle Rudolph,,,,
"89. Tyrell Williams, WR, LAC",WR,9,99,91,95,66,100,90.2,,,89,Tyrell Williams,,,,
"90. Cam Newton, QB, CAR",QB,11,104,70,81,92,104,90.2,,,90,Cam Newton,,,,
"91. Kirk Cousins, QB, WAS",QB,5,68,100,92,93,98,90.2,,,91,Kirk Cousins,,,,
"92. James White, RB, NE",RB,9,81,107,85,103,77,90.6,,,92,James White,,,,
"93. Doug Martin, RB, TB",RB,1,83,77,112,82,105,91.8,,,93,Doug Martin,,,,
"94. Eddie Lacy, RB, SEA",RB,6,101,103,106,79,80,93.8,,,94,Eddie Lacy,,,,
"95. Willie Snead, WR, NO",WR,5,108,83,74,113,108,97.2,,,95,Willie Snead,,,,
"96. Zach Ertz, TE, PHI",TE,10,128,64,79,125,92,97.6,,,96,Zach Ertz,,,,
"97. Jonathan Stewart, RB, CAR",RB,11,98,116,99,80,106,99.8,,,97,Jonathan Stewart,,,,
"98. Rishard Matthews, WR, TEN",WR,8,109,98,123,84,90,100.8,,,98,Rishard Matthews,,,,
"99. LeGarrette Blount, RB, PHI",RB,10,87,134,136,81,67,101,,,99,LeGarrette Blount,,,,
"100. Randall Cobb, WR, GB",WR,8,124,80,96,107,99,101.2,,,100,Randall Cobb,,,,
"101. Darren Sproles, RB, PHI",RB,10,116,106,90,116,94,104.4,,,101,Darren Sproles,,,,
